config,тип,уровень,алгоритм,defective,seed,macro_f1,conf_coverage,conf_set_size,D,T,F,S,C,R,V
F подмена η=0.25,F,0.25,HistGB,1,20260802,0.3951,0.8986,1.66,1.0,1.0,0.5966,0.753,0.7457,0.6782,0.6904
F подмена η=0.5,F,0.5,HistGB,1,20260802,0.3951,0.8986,1.66,1.0,1.0,0.3978,0.753,0.7457,0.6782,0.6239
F подмена η=0.75,F,0.75,HistGB,1,20260802,0.3951,0.8986,1.66,1.0,1.0,0.1989,0.753,0.7457,0.6782,0.5246
F подмена η=1.0,F,1.0,HistGB,1,20260802,0.3951,0.8986,1.66,1.0,1.0,0.0159,0.753,0.7457,0.6782,0.279
S доля=0.25,S,0.25,HistGB,1,20260802,0.3625,0.9155,1.738,1.0,1.0,0.7351,0.7811,0.6804,0.6444,0.7083
S доля=0.4,S,0.4,HistGB,1,20260802,0.3703,0.9003,1.681,1.0,1.0,0.7811,0.7732,0.7226,0.6782,0.7376
S доля=0.6,S,0.6,HistGB,1,20260802,0.3941,0.9189,1.716,1.0,1.0,0.7605,0.7625,0.7096,0.6571,0.7211
S доля=0.8,S,0.8,HistGB,1,20260802,0.409,0.902,1.664,1.0,1.0,0.8117,0.7444,0.7099,0.681,0.7352
C инверсия η=0.05,C,0.05,HistGB,1,20260802,0.3791,0.8919,1.841,1.0,1.0,0.7604,0.7732,0.6027,0.6002,0.6791
C инверсия η=0.1,C,0.1,HistGB,1,20260802,0.3595,0.902,2.439,1.0,1.0,0.6729,0.7957,0.44,0.4668,0.5758
C инверсия η=0.2,C,0.2,HistGB,1,20260802,0.3232,0.9155,2.497,1.0,1.0,0.5285,0.8442,0.2253,0.4409,0.4588
C инверсия η=0.3,C,0.3,HistGB,1,20260802,0.2884,0.8902,2.407,1.0,1.0,0.3398,0.8977,0.0937,0.4738,0.3412
R сглаж. λ=0.1,R,0.1,HistGB,1,20260802,0.3951,0.8986,1.66,1.0,1.0,0.8924,0.753,0.7457,0.6782,0.7635
R сглаж. λ=0.25,R,0.25,HistGB,1,20260802,0.3951,0.8986,1.66,1.0,1.0,1.0,0.753,0.7457,0.6782,0.7856
R сглаж. λ=0.5,R,0.5,HistGB,1,20260802,0.3951,0.8986,1.66,1.0,1.0,1.0,0.753,0.7457,0.6782,0.7856
R сглаж. λ=0.75,R,0.75,HistGB,1,20260802,0.3951,0.8986,1.66,1.0,1.0,1.0,0.753,0.7457,0.6782,0.7856
R сглаж. λ=0.9,R,0.9,HistGB,1,20260802,0.3951,0.8986,1.66,1.0,1.0,1.0,0.753,0.7457,0.6782,0.7856
D невозможный АМГ,D,0.1,HistGB,1,20260802,0.4021,0.9037,1.686,0.0,1.0,0.7794,0.7501,0.6597,0.6712,0.0
D противоречие ИМТ,D,0.1,HistGB,1,20260802,0.3935,0.9037,1.667,0.0,1.0,0.7737,0.7571,0.7446,0.6737,0.0
